# Mindennapi tárgyak
alma,Apfel
kenyér,Brot
víz,Wasser
tej,Milch
sajt,Käse
ház,Haus
autó,Auto
szék,Stuhl
asztal,Tisch
ajtó,Tür
ablak,Fenster
cipő,Schuh
ruha,Kleid
kabát,Jacke
sapka,Mütze
táska,Tasche
óra,Uhr
telefon,Telefon
kulcs,Schlüssel
pénz,Geld

# Család / emberek
anya,Mutter
apa,Vater
fiú,Junge
lány,Mädchen
testvér,Geschwister
barát,Freund
tanár,Lehrer
diák,Schüler
orvos,Arzt
nővér,Schwester

# Ételek / italok
tojás,Ei
hal,Fisch
hús,Fleisch
süti,Kuchen
gyümölcs,Obst
zöldség,Gemüse
kávé,Kaffee
tea,Tee
sör,Bier
bor,Wein

# Természeti / környezet
nap,Sonne
hold,Mond
csillag,Stern
fa,Baum
virág,Blume
vízesés,Wasserfall
hegy,Berg
folyó,Fluss
tó,See
erdő,Wald

# Alap igék
menni,gehen
jönni,kommen
enni,essen
inni,trinken
látni,sehen
hallani,hören
aludni,schlafen
dolgozni,arbeiten
tanulni,lernen
játszani,spielen
írni,schreiben
olvasni,lesen
venni,kaufen
adni,geben
beszélni,sprechen
hallani,hören
kérdezni,fragen
válaszolni,antworten
szeretni,lieben
utazni,reisen

# Alap melléknevek / kifejezések
nagy,groß
kicsi,klein
jó,gut
rossz,schlecht
gyors,schnell
lassú,langsam
hideg,kalt
meleg,heiß
új,neu
régi,alt
